path,cluster
veriwild\1\00001\000001.jpg,0
veriwild\1\00001\000002.jpg,0
veriwild\1\00001\000003.jpg,1
veriwild\1\00001\000004.jpg,0
veriwild\1\00001\000005.jpg,1
veriwild\1\00001\000006.jpg,0
veriwild\1\00002\000007.jpg,1
veriwild\1\00002\000008.jpg,1
veriwild\1\00002\000009.jpg,1
veriwild\1\00002\000010.jpg,1
veriwild\1\00002\000011.jpg,1
veriwild\1\00003\000012.jpg,2
veriwild\1\00003\000013.jpg,2
veriwild\1\00003\000014.jpg,2
veriwild\1\00003\000015.jpg,2
veriwild\1\00004\000016.jpg,0
veriwild\1\00004\000017.jpg,2
veriwild\1\00004\000018.jpg,0
veriwild\1\00004\000019.jpg,0
veriwild\1\00004\000020.jpg,0
veriwild\1\00005\000021.jpg,2
veriwild\1\00005\000022.jpg,2
veriwild\1\00005\000023.jpg,2
veriwild\1\00005\000024.jpg,2
veriwild\1\00005\000025.jpg,2
veriwild\1\00005\000026.jpg,2
veriwild\1\00005\000027.jpg,2
veriwild\1\00005\000028.jpg,2
veriwild\1\00005\000029.jpg,2
veriwild\1\00006\000030.jpg,0
veriwild\1\00006\000031.jpg,0
veriwild\1\00006\000032.jpg,0
veriwild\1\00006\000033.jpg,0
veriwild\1\00006\000034.jpg,0
veriwild\1\00006\000035.jpg,0
veriwild\1\00006\000036.jpg,0
veriwild\1\00006\000037.jpg,0
veriwild\1\00006\000038.jpg,0
veriwild\1\00006\000039.jpg,1
veriwild\1\00006\000040.jpg,0
veriwild\1\00006\000041.jpg,0
veriwild\1\00006\000042.jpg,0
veriwild\1\00006\000043.jpg,0
veriwild\1\00006\000044.jpg,0
veriwild\1\00006\000045.jpg,0
veriwild\1\00006\000046.jpg,0
veriwild\1\00006\000047.jpg,0
veriwild\1\00006\000048.jpg,0
veriwild\1\00006\000049.jpg,0
veriwild\1\00006\000050.jpg,0
veriwild\1\00007\000051.jpg,1
veriwild\1\00007\000052.jpg,1
veriwild\1\00007\000053.jpg,3
veriwild\1\00007\000054.jpg,1
veriwild\1\00008\000055.jpg,2
veriwild\1\00008\000056.jpg,2
veriwild\1\00008\000057.jpg,4
veriwild\1\00008\000058.jpg,2
veriwild\1\00008\000059.jpg,2
veriwild\1\00009\000060.jpg,1
veriwild\1\00009\000061.jpg,1
veriwild\1\00009\000062.jpg,1
veriwild\1\00009\000063.jpg,1
veriwild\1\00009\000064.jpg,1
veriwild\1\00009\000065.jpg,1
veriwild\1\00009\000066.jpg,1
veriwild\1\00009\000067.jpg,1
veriwild\1\00009\000068.jpg,2
veriwild\1\00010\000069.jpg,2
veriwild\1\00010\000070.jpg,2
veriwild\1\00010\000071.jpg,2
veriwild\1\00010\000072.jpg,2
veriwild\1\00010\000073.jpg,4
veriwild\1\00010\000074.jpg,4
veriwild\1\00010\000075.jpg,2
veriwild\1\00010\000076.jpg,2
veriwild\1\00010\000077.jpg,2
veriwild\1\00010\000078.jpg,2
veriwild\1\00010\000079.jpg,2
veriwild\1\00010\000080.jpg,2
veriwild\1\00010\000081.jpg,0
veriwild\1\00010\000082.jpg,2
veriwild\1\00010\000083.jpg,4
veriwild\1\00010\000084.jpg,2
veriwild\1\00010\000085.jpg,2
veriwild\1\00010\000086.jpg,2
veriwild\1\00010\000087.jpg,2
veriwild\1\00010\000088.jpg,2
veriwild\1\00010\000089.jpg,2
veriwild\1\00011\000090.jpg,1
veriwild\1\00011\000091.jpg,1
veriwild\1\00011\000092.jpg,1
veriwild\1\00011\000093.jpg,3
veriwild\1\00012\000094.jpg,2
veriwild\1\00012\000095.jpg,2
veriwild\1\00012\000096.jpg,2
veriwild\1\00012\000097.jpg,2
veriwild\1\00013\000098.jpg,2
veriwild\1\00013\000099.jpg,4
veriwild\1\00013\000100.jpg,4
veriwild\1\00013\000101.jpg,4
veriwild\1\00013\000102.jpg,4
veriwild\1\00013\000103.jpg,2
veriwild\1\00013\000104.jpg,2
veriwild\1\00013\000105.jpg,2
veriwild\1\00013\000106.jpg,2
