descriptor,scaler,method,n_clusters,calinski_harabasz,davies_bouldin,n_noise
efficientnet-b7,standard,minibatch_kmeans,5,19934.006,4.578879061594917,0
efficientnet-b7,standard,minibatch_kmeans,10,11053.434,4.785947617958521,0
efficientnet-b7,standard,minibatch_kmeans,15,7855.8047,4.8792845025800675,0
efficientnet-b7,standard,minibatch_kmeans,20,6225.825,4.895490793424685,0
efficientnet-b7,standard,minibatch_kmeans,30,4421.923,4.697296242795398,0
efficientnet-b7,standard,minibatch_kmeans,50,2898.4749,4.734116694766865,0
efficientnet-b7,standard,kmeans,5,20476.158,4.259840473052774,0
efficientnet-b7,standard,kmeans,10,11345.355,4.36075083393027,0
efficientnet-b7,standard,kmeans,15,8075.2725,4.421148083135876,0
efficientnet-b7,standard,kmeans,20,6353.544,4.606318488987853,0
efficientnet-b7,standard,kmeans,30,4532.56,4.472117419914444,0
efficientnet-b7,standard,kmeans,50,2950.7827,4.556190209042511,0
efficientnet-b7,minmax,minibatch_kmeans,5,19763.729,4.476196963183341,0
efficientnet-b7,minmax,minibatch_kmeans,10,11013.117,4.64073955353894,0
efficientnet-b7,minmax,minibatch_kmeans,15,7835.1826,4.669577925762534,0
efficientnet-b7,minmax,minibatch_kmeans,20,6178.6685,4.835068854929051,0
efficientnet-b7,minmax,minibatch_kmeans,30,4404.1035,4.681432783118395,0
efficientnet-b7,minmax,minibatch_kmeans,50,2894.6506,4.773064709177088,0
efficientnet-b7,minmax,kmeans,5,20408.508,4.244749721313731,0
efficientnet-b7,minmax,kmeans,10,11314.47,4.356823121080399,0
efficientnet-b7,minmax,kmeans,15,8056.624,4.487067826872927,0
efficientnet-b7,minmax,kmeans,20,6336.9697,4.564271211151059,0
efficientnet-b7,minmax,kmeans,30,4515.9434,4.541542184689491,0
efficientnet-b7,minmax,kmeans,50,2944.7307,4.544791917395499,0
osnet,standard,minibatch_kmeans,5,24436.754,2.9748022334239748,0
osnet,standard,minibatch_kmeans,10,16508.916,2.996243540524073,0
osnet,standard,minibatch_kmeans,15,13589.982,2.711803379098727,0
osnet,standard,minibatch_kmeans,20,11455.013,2.8418161087707805,0
osnet,standard,minibatch_kmeans,30,9043.689,2.7566230112295775,0
osnet,standard,minibatch_kmeans,50,6591.5957,2.6579030150804654,0
osnet,standard,kmeans,5,25176.111,2.9403838478727113,0
osnet,standard,kmeans,10,17325.8,2.695770200953733,0
osnet,standard,kmeans,15,13916.534,2.7117932586135653,0
osnet,standard,kmeans,20,11892.006,2.5653415283405776,0
osnet,standard,kmeans,30,9223.549,2.6194306541288186,0
osnet,standard,kmeans,50,6741.27,2.632730192397264,0
osnet,minmax,minibatch_kmeans,5,30009.62,2.8397888881406663,0
osnet,minmax,minibatch_kmeans,10,21547.459,2.7342744955466807,0
osnet,minmax,minibatch_kmeans,15,16446.66,2.87935891952821,0
osnet,minmax,minibatch_kmeans,20,13447.74,2.9042380147230116,0
osnet,minmax,minibatch_kmeans,30,10284.283,2.7591660041474095,0
osnet,minmax,minibatch_kmeans,50,7470.2017,2.6967273106731606,0
osnet,minmax,kmeans,5,32412.258,2.792999388070944,0
osnet,minmax,kmeans,10,21618.389,2.7709268932837503,0
osnet,minmax,kmeans,15,16658.307,2.645004697700814,0
osnet,minmax,kmeans,20,13882.207,2.762307015930329,0
osnet,minmax,kmeans,30,10410.918,2.8213811018242234,0
osnet,minmax,kmeans,50,7555.087,2.664315636345924,0
vdc_color,standard,minibatch_kmeans,5,53723.78,2.3314366910106328,0
vdc_color,standard,minibatch_kmeans,10,30163.367,2.979677577524804,0
vdc_color,standard,minibatch_kmeans,15,22596.967,2.806110080750984,0
vdc_color,standard,minibatch_kmeans,20,18046.094,3.004023590124205,0
vdc_color,standard,minibatch_kmeans,30,13247.6,3.0214999038642363,0
vdc_color,standard,minibatch_kmeans,50,8811.912,3.1891611364312213,0
vdc_color,standard,kmeans,5,53756.855,2.3522862425305546,0
vdc_color,standard,kmeans,10,31005.186,2.775820809704347,0
vdc_color,standard,kmeans,15,22618.973,2.9230273073601425,0
vdc_color,standard,kmeans,20,18672.982,2.8055071763172323,0
vdc_color,standard,kmeans,30,13616.498,2.890946666391055,0
vdc_color,standard,kmeans,50,8998.557,3.0350312807560638,0
vdc_color,minmax,minibatch_kmeans,5,68427.14,2.2850214002984726,0
vdc_color,minmax,minibatch_kmeans,10,38684.26,2.8249599789264366,0
vdc_color,minmax,minibatch_kmeans,15,28343.762,2.931616513531702,0
vdc_color,minmax,minibatch_kmeans,20,22635.574,2.8021910315771814,0
vdc_color,minmax,minibatch_kmeans,30,16424.635,2.994341469442814,0
vdc_color,minmax,minibatch_kmeans,50,10802.59,3.066690879197986,0
vdc_color,minmax,kmeans,5,69147.32,2.30519606103649,0
vdc_color,minmax,kmeans,10,39331.355,2.6126412626860147,0
vdc_color,minmax,kmeans,15,29029.3,2.5720623933389564,0
vdc_color,minmax,kmeans,20,23067.566,2.723014686536414,0
vdc_color,minmax,kmeans,30,16676.482,2.8961249078425984,0
vdc_color,minmax,kmeans,50,10932.0,3.016811317010556,0
vdc_type,standard,minibatch_kmeans,5,90761.24,1.6769592054557148,0
vdc_type,standard,minibatch_kmeans,10,63719.95,1.8449130662782682,0
vdc_type,standard,minibatch_kmeans,15,49288.223,1.9912555982815523,0
vdc_type,standard,minibatch_kmeans,20,39360.965,2.1166934553032264,0
vdc_type,standard,minibatch_kmeans,30,31824.855,2.1227916730229115,0
vdc_type,standard,minibatch_kmeans,50,22327.732,2.210727764710332,0
vdc_type,standard,kmeans,5,94663.945,1.6192786452922416,0
vdc_type,standard,kmeans,10,66469.12,1.716131261766121,0
vdc_type,standard,kmeans,15,52256.66,1.902015168369725,0
vdc_type,standard,kmeans,20,43607.66,1.9155231311562617,0
