descriptor,scaler,n_components,method,n_clusters,calinski_harabasz,davies_bouldin,n_noise
efficientnet-b7,standard,1536,minibatch_kmeans,5,10134.586469295307,6.395895648409649,0
efficientnet-b7,standard,1536,minibatch_kmeans,10,5623.508659884553,6.62078091015492,0
efficientnet-b7,standard,1536,minibatch_kmeans,15,3776.305979037802,5.443859108347499,0
efficientnet-b7,standard,1536,kmeans,5,10521.895730396172,5.943816005400096,0
efficientnet-b7,standard,1536,kmeans,10,5725.709986798553,6.1526593863048324,0
efficientnet-b7,standard,1536,kmeans,15,4041.1957634568666,6.250766855253185,0
efficientnet-b7,minmax,1536,minibatch_kmeans,5,10485.153424711205,5.975199248782227,0
efficientnet-b7,minmax,1536,minibatch_kmeans,10,5649.088167043228,6.3295241336156085,0
efficientnet-b7,minmax,1536,minibatch_kmeans,15,3689.9101334928605,4.962432623907181,0
efficientnet-b7,minmax,1536,kmeans,5,10527.314536922964,5.914576891706377,0
efficientnet-b7,minmax,1536,kmeans,10,5732.648103116912,6.133104691415318,0
efficientnet-b7,minmax,1536,kmeans,15,4047.6409101488107,6.2600087077964295,0
osnet,standard,512,minibatch_kmeans,5,20069.50050981676,3.5261123540517163,0
osnet,standard,512,minibatch_kmeans,10,14398.17622880372,3.1141539650700367,0
osnet,standard,512,minibatch_kmeans,15,11475.405215922277,2.975971073357165,0
osnet,standard,512,kmeans,5,21203.539573424896,3.1134390225367055,0
osnet,standard,512,kmeans,10,14642.653996815063,3.0367074169891244,0
osnet,standard,512,kmeans,15,11641.720606488258,2.932789720010212,0
osnet,minmax,512,minibatch_kmeans,5,28228.385788523014,2.996471225282565,0
osnet,minmax,512,minibatch_kmeans,10,18169.541080465795,3.1548586479179805,0
osnet,minmax,512,minibatch_kmeans,15,14506.126452458839,2.9807540628190905,0
osnet,minmax,512,kmeans,5,28884.777305217376,2.958799600099208,0
osnet,minmax,512,kmeans,10,19116.941890750993,2.860860536642785,0
osnet,minmax,512,kmeans,15,14617.286419059874,2.87006391425738,0
vdc_color,standard,128,minibatch_kmeans,5,53723.78173861132,2.3314366910106328,0
vdc_color,standard,128,minibatch_kmeans,10,30163.36730969809,2.979677577524804,0
vdc_color,standard,128,minibatch_kmeans,15,22596.966088842968,2.806110080750984,0
vdc_color,standard,128,kmeans,5,53756.85345800775,2.3522862425305546,0
vdc_color,standard,128,kmeans,10,31005.183691165115,2.775820809704347,0
vdc_color,standard,128,kmeans,15,22618.96947444834,2.9230273073601425,0
vdc_color,minmax,128,minibatch_kmeans,5,68427.13898019372,2.2850214002984726,0
vdc_color,minmax,128,minibatch_kmeans,10,38684.25739804698,2.8249599789264366,0
vdc_color,minmax,128,minibatch_kmeans,15,28343.76208883349,2.931616513531702,0
vdc_color,minmax,128,kmeans,5,69147.3264788451,2.30519606103649,0
vdc_color,minmax,128,kmeans,10,39331.3571649569,2.6126412626860147,0
vdc_color,minmax,128,kmeans,15,29029.301587554502,2.57205965702776,0
vdc_type,standard,512,minibatch_kmeans,5,88169.14064346714,1.7131236066857138,0
vdc_type,standard,512,minibatch_kmeans,10,61055.30072753914,1.9019242780636882,0
vdc_type,standard,512,minibatch_kmeans,15,44170.8733227733,2.310024183474665,0
vdc_type,standard,512,kmeans,5,91536.59511706028,1.6510903228236984,0
vdc_type,standard,512,kmeans,10,63696.93654973604,1.7547050526389842,0
vdc_type,standard,512,kmeans,15,50675.56744317754,1.839863615422135,0
vdc_type,minmax,512,minibatch_kmeans,5,100539.94821089835,1.969777768255789,0
vdc_type,minmax,512,minibatch_kmeans,10,66497.43626525831,1.8247359852334888,0
vdc_type,minmax,512,minibatch_kmeans,15,50824.558167070965,1.9496001711369266,0
vdc_type,minmax,512,kmeans,5,104694.06544843584,1.8300280415166026,0
vdc_type,minmax,512,kmeans,10,67040.20574904804,1.8967030934570133,0
vdc_type,minmax,512,kmeans,15,50932.39087047363,1.9698846627752078,0
